Date;median;Species
19.03.2019;0;percipitation
20.03.2019;0;percipitation
21.03.2019;0;percipitation
22.03.2019;0;percipitation
23.03.2019;0;percipitation
24.03.2019;0;percipitation
25.03.2019;7,3;percipitation
26.03.2019;0;percipitation
27.03.2019;0;percipitation
28.03.2019;0;percipitation
29.03.2019;0;percipitation
30.03.2019;0;percipitation
31.03.2019;0;percipitation
01.04.2019;0;percipitation
02.04.2019;0;percipitation
03.04.2019;4,2;percipitation
04.04.2019;2,9;percipitation
05.04.2019;2,6;percipitation
06.04.2019;0;percipitation
07.04.2019;0;percipitation
08.04.2019;0;percipitation
09.04.2019;0;percipitation
10.04.2019;0;percipitation
11.04.2019;0;percipitation
12.04.2019;0;percipitation
13.04.2019;0;percipitation
14.04.2019;0;percipitation
15.04.2019;0;percipitation
16.04.2019;0;percipitation
17.04.2019;0;percipitation
18.04.2019;0;percipitation
19.04.2019;0;percipitation
20.04.2019;0;percipitation
21.04.2019;0;percipitation
22.04.2019;0;percipitation
23.04.2019;0;percipitation
24.04.2019;2;percipitation
25.04.2019;0;percipitation
26.04.2019;0,9;percipitation
27.04.2019;4,5;percipitation
28.04.2019;0,7;percipitation
29.04.2019;0;percipitation
30.04.2019;0;percipitation
01.05.2019;0;percipitation
02.05.2019;0,6;percipitation
03.05.2019;0,6;percipitation
04.05.2019;1;percipitation
05.05.2019;0,9;percipitation
06.05.2019;2,3;percipitation
07.05.2019;0,3;percipitation
08.05.2019;11,4;percipitation
09.05.2019;0;percipitation
10.05.2019;0,3;percipitation
11.05.2019;0;percipitation
12.05.2019;0;percipitation
13.05.2019;0;percipitation
14.05.2019;0;percipitation
15.05.2019;0;percipitation
16.05.2019;0,8;percipitation
17.05.2019;0;percipitation
18.05.2019;0;percipitation
19.05.2019;0,5;percipitation
20.05.2019;0;percipitation
21.05.2019;0,3;percipitation
22.05.2019;0;percipitation
23.05.2019;0;percipitation
24.05.2019;0;percipitation
25.05.2019;0;percipitation
26.05.2019;0;percipitation
27.05.2019;0,6;percipitation
28.05.2019;7,8;percipitation
29.05.2019;0;percipitation
30.05.2019;0;percipitation
31.05.2019;0,7;percipitation
01.06.2019;0;percipitation
02.06.2019;0;percipitation
03.06.2019;14,6;percipitation
04.06.2019;0;percipitation
05.06.2019;0,3;percipitation
06.06.2019;3,9;percipitation
07.06.2019;1,6;percipitation
08.06.2019;0;percipitation
09.06.2019;0;percipitation
10.06.2019;1;percipitation
11.06.2019;3,1;percipitation
12.06.2019;14,2;percipitation
13.06.2019;0,6;percipitation
14.06.2019;0;percipitation
15.06.2019;5,4;percipitation
16.06.2019;0;percipitation
17.06.2019;0;percipitation
18.06.2019;0;percipitation
19.06.2019;4;percipitation
20.06.2019;0;percipitation
21.06.2019;0;percipitation
22.06.2019;0;percipitation
23.06.2019;0;percipitation
24.06.2019;0;percipitation
25.06.2019;0;percipitation
26.06.2019;0;percipitation
27.06.2019;0;percipitation
28.06.2019;0;percipitation
29.06.2019;0;percipitation
30.06.2019;0;percipitation
01.07.2019;0;percipitation
02.07.2019;0;percipitation
03.07.2019;0;percipitation
04.07.2019;0;percipitation
05.07.2019;0;percipitation
06.07.2019;4,4;percipitation
07.07.2019;0;percipitation
08.07.2019;0;percipitation
09.07.2019;0;percipitation
10.07.2019;0,4;percipitation
11.07.2019;24,9;percipitation
12.07.2019;8,2;percipitation
13.07.2019;0;percipitation
14.07.2019;0;percipitation
15.07.2019;0;percipitation
16.07.2019;0;percipitation
17.07.2019;0;percipitation
18.07.2019;0;percipitation
19.07.2019;0;percipitation
20.07.2019;9,7;percipitation
21.07.2019;0;percipitation
22.07.2019;0;percipitation
23.07.2019;0;percipitation
24.07.2019;0;percipitation
25.07.2019;0;percipitation
26.07.2019;0;percipitation
27.07.2019;0;percipitation
28.07.2019;0,4;percipitation
29.07.2019;0;percipitation
30.07.2019;0;percipitation
31.07.2019;5;percipitation
01.08.2019;0;percipitation
02.08.2019;0,2;percipitation
03.08.2019;0;percipitation
04.08.2019;0;percipitation
05.08.2019;0;percipitation
06.08.2019;1,4;percipitation
07.08.2019;4,5;percipitation
08.08.2019;0;percipitation
09.08.2019;0;percipitation
10.08.2019;0;percipitation
11.08.2019;0;percipitation
12.08.2019;3,2;percipitation
13.08.2019;1,9;percipitation
14.08.2019;0,5;percipitation
15.08.2019;8,4;percipitation
16.08.2019;0;percipitation
17.08.2019;1;percipitation
18.08.2019;10,8;percipitation
19.08.2019;0;percipitation
20.08.2019;0;percipitation
21.08.2019;0;percipitation
22.08.2019;0;percipitation
23.08.2019;0;percipitation
24.08.2019;0;percipitation
25.08.2019;0;percipitation
26.08.2019;0;percipitation
27.08.2019;3;percipitation
28.08.2019;0;percipitation
29.08.2019;22,8;percipitation
30.08.2019;0;percipitation
31.08.2019;2,7;percipitation
01.09.2019;0;percipitation
02.09.2019;0;percipitation
03.09.2019;0;percipitation
04.09.2019;1,8;percipitation
05.09.2019;0,2;percipitation
06.09.2019;0;percipitation
07.09.2019;0,7;percipitation
08.09.2019;0,2;percipitation
09.09.2019;0;percipitation
10.09.2019;0;percipitation
11.09.2019;4;percipitation
12.09.2019;0;percipitation
13.09.2019;4,1;percipitation
14.09.2019;0;percipitation
15.09.2019;0;percipitation
16.09.2019;7,3;percipitation
17.09.2019;0,1;percipitation
18.09.2019;0;percipitation
19.09.2019;0;percipitation
20.09.2019;0;percipitation
21.09.2019;0;percipitation
22.09.2019;0;percipitation
23.09.2019;3,7;percipitation
24.09.2019;0;percipitation
25.09.2019;3,2;percipitation
26.09.2019;8,5;percipitation
27.09.2019;1,3;percipitation
28.09.2019;2,1;percipitation
29.09.2019;14,4;percipitation
30.09.2019;2;percipitation
01.10.2019;12,1;percipitation
02.10.2019;3,5;percipitation
03.10.2019;2,1;percipitation
04.10.2019;8,1;percipitation
05.10.2019;0;percipitation
06.10.2019;1;percipitation
07.10.2019;0;percipitation
08.10.2019;4,3;percipitation
09.10.2019;4,9;percipitation
10.10.2019;0,6;percipitation
11.10.2019;0,9;percipitation
12.10.2019;0;percipitation
13.10.2019;6,2;percipitation
14.10.2019;0;percipitation
15.10.2019;5,9;percipitation
16.10.2019;5,1;percipitation
17.10.2019;2,6;percipitation
18.10.2019;1,7;percipitation
19.10.2019;1;percipitation
20.10.2019;13,1;percipitation
21.10.2019;0,5;percipitation
22.10.2019;0;percipitation
23.10.2019;0;percipitation
24.10.2019;0;percipitation
25.10.2019;0,1;percipitation
26.10.2019;0;percipitation
27.10.2019;1,9;percipitation
28.10.2019;0;percipitation
29.10.2019;0;percipitation
30.10.2019;0;percipitation
31.10.2019;0;percipitation
01.11.2019;0,8;percipitation
02.11.2019;6,9;percipitation
03.11.2019;0,3;percipitation
04.11.2019;1,4;percipitation
05.11.2019;0;percipitation
06.11.2019;2,2;percipitation
07.11.2019;1,9;percipitation
08.11.2019;0;percipitation
09.11.2019;0;percipitation
10.11.2019;0;percipitation
11.11.2019;0,8;percipitation
12.11.2019;1,3;percipitation
13.11.2019;2,7;percipitation
14.11.2019;0;percipitation
15.11.2019;0;percipitation
16.11.2019;0;percipitation
17.11.2019;11,4;percipitation
18.11.2019;32,8;percipitation
19.11.2019;3,6;percipitation
20.11.2019;0;percipitation
21.11.2019;11,1;percipitation
22.11.2019;12,1;percipitation
23.11.2019;11,1;percipitation
24.11.2019;;percipitation
25.11.2019;;percipitation
26.11.2019;;percipitation
27.11.2019;14,9;percipitation
28.11.2019;16,6;percipitation
29.11.2019;11,1;percipitation
30.11.2019;;percipitation
01.12.2019;;percipitation
02.12.2019;;percipitation
03.12.2019;0,8;percipitation
04.12.2019;0;percipitation
05.12.2019;0;percipitation
06.12.2019;3,9;percipitation
07.12.2019;3,1;percipitation
08.12.2019;0,9;percipitation
09.12.2019;5,6;percipitation
10.12.2019;0;percipitation
11.12.2019;3,5;percipitation
12.12.2019;0;percipitation
13.12.2019;1,1;percipitation
14.12.2019;4,1;percipitation
15.12.2019;4,5;percipitation
16.12.2019;0;percipitation
17.12.2019;5,1;percipitation
18.12.2019;0;percipitation
19.12.2019;0;percipitation
20.12.2019;0,4;percipitation
21.12.2019;0;percipitation
22.12.2019;6,7;percipitation
23.12.2019;2,3;percipitation
24.12.2019;7,1;percipitation
25.12.2019;;percipitation
26.12.2019;;percipitation
27.12.2019;;percipitation
28.12.2019;;percipitation
29.12.2019;;percipitation
30.12.2019;;percipitation
31.12.2019;;percipitation
01.01.2020;58,8;percipitation
02.01.2020;;percipitation
03.01.2020;63,8;percipitation
04.01.2020;60,5;percipitation
05.01.2020;58,8;percipitation
